dataset,commodity,unit_source,is_total,year,measure_type,value,unit
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2017,quantity,2727206,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2017,value_cif,70.69,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2017,quantity,219,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2017,value_cif,0.01,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2017,quantity,82504,head
MALAY_IMPORT,Live Ducks,No,FALSE,2017,value_cif,2.82,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2017,quantity,9943,head
MALAY_IMPORT,Live goats,No,FALSE,2017,value_cif,13.1,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2017,quantity,39252,head
MALAY_IMPORT,Live sheep,No,FALSE,2017,value_cif,29.85,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2017,quantity,466,head
MALAY_IMPORT,Live swine,No,FALSE,2017,value_cif,4.34,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2017,quantity,38626.6,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2017,value_cif,791.98,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2017,quantity,68285.6,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2017,value_cif,633.62,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2017,quantity,20537.1,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2017,value_cif,273.72,million_rm
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2018,quantity,165087.5,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2018,value_cif,2173.68,million_rm
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2018,quantity,4108,head
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2018,value_cif,14.95,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2018,quantity,5437,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2018,value_cif,28.24,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2018,quantity,66429,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2018,value_cif,91.6,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2018,quantity,2203735,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2018,value_cif,79.07,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2018,quantity,12222,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2018,value_cif,0.29,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2018,quantity,100907,head
MALAY_IMPORT,Live Ducks,No,FALSE,2018,value_cif,3.43,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2018,quantity,18748,head
MALAY_IMPORT,Live goats,No,FALSE,2018,value_cif,21.44,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2018,quantity,41555,head
