dataset,year,livestock,gender,measure_type,value,unit
MALAY_RUMINANT_SWINE_PRICE,2014,Cross Bred Cattle,Female,price,9.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Cross Bred Cattle,Male,price,10.4,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Cross Bred Goat,Female,price,22.8,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Cross Bred Goat,Male,price,23,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Local Cattle,Female,price,9.8,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Local Cattle,Male,price,9.9,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Local Goat,Female,price,16.4,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Local Goat,Male,price,16.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Sheep,Female,price,23,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Sheep,Male,price,23,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Swine,Female,price,19.96,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2014,Swine,Male,price,7.94,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Buffalo,Female,price,9.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Buffalo,Male,price,9.8,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Cross Bred Cattle,Female,price,10.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Cross Bred Cattle,Male,price,10.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Cross Bred Goat,Female,price,23.1,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Cross Bred Goat,Male,price,23.2,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Local Cattle,Female,price,12.2,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Local Cattle,Male,price,12.4,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Local Goat,Female,price,16.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Local Goat,Male,price,16.8,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Sheep,Female,price,23.1,RM/Kg
