dataset,region,commodity,measure_type,year,value,unit,flag,commodity_raw
MALAY_PROD,Malaysia,Pork,total,2020,221324.5,tonnes,estimate,Total
MALAY_PROD,Peninsular Malaysia,Poultry Meat,total,2014,1449580,tonnes,,Poultry Meat ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Peninsular Malaysia,Poultry Meat,total,2015,1495410,tonnes,,Poultry Meat ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Peninsular Malaysia,Poultry Meat,total,2016,1611490,tonnes,,Poultry Meat ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Peninsular Malaysia,Poultry Meat,total,2017,1522499,tonnes,,Poultry Meat ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Peninsular Malaysia,Poultry Meat,total,2018,1507734,tonnes,,Poultry Meat ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Peninsular Malaysia,Poultry Meat,total,2019,1509198,tonnes,,Poultry Meat ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Peninsular Malaysia,Poultry Meat,total,2020,1456530,tonnes,estimate,Poultry Meat ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Sabah,Poultry Meat,,2014,,,,
MALAY_PROD,Sabah,Poultry Meat,,2015,,,,
MALAY_PROD,Sabah,Poultry Meat,,2016,,,,
MALAY_PROD,Sabah,Poultry Meat,,2017,,,,
MALAY_PROD,Sabah,Poultry Meat,,2018,,,,
MALAY_PROD,Sabah,Poultry Meat,,2019,,,,
MALAY_PROD,Sabah,Poultry Meat,,2020,,,estimate,
MALAY_PROD,Sarawak,Poultry Meat,,2014,,,,
MALAY_PROD,Sarawak,Poultry Meat,,2015,,,,
MALAY_PROD,Sarawak,Poultry Meat,,2016,,,,
MALAY_PROD,Sarawak,Poultry Meat,,2017,,,,
MALAY_PROD,Sarawak,Poultry Meat,,2018,,,,
MALAY_PROD,Sarawak,Poultry Meat,,2019,,,,
MALAY_PROD,Sarawak,Poultry Meat,,2020,,,estimate,
MALAY_PROD,Malaysia,Total,total,2014,1584060,tonnes,,Total ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Malaysia,Total,total,2015,1633410,tonnes,,Total ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Malaysia,Total,total,2016,1755230,tonnes,,Total ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Malaysia,Total,total,2017,1664852,tonnes,,Total ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Malaysia,Total,total,2018,1653686.7,tonnes,,Total ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Malaysia,Total,total,2019,1655292.5,tonnes,,Total ('000 M. Tan/ '000 M. Tonne)
MALAY_PROD,Malaysia,Total,total,2020,1597526.1,tonnes,estimate,Total ('000 M. Tan/ '000 M. Tonne)
