dataset,commodity,unit_source,is_total,year,measure_type,value,unit
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2017,value_cif,0.01,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2017,quantity,72,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2017,value_cif,0.05,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2017,quantity,,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2017,value_cif,,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2017,quantity,4100260,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2017,value_cif,32.14,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2017,quantity,47196567,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2017,value_cif,586.69,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2017,quantity,5482917,head
MALAY_IMPORT,Live Ducks,No,FALSE,2017,value_cif,144.74,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2017,quantity,308,head
MALAY_IMPORT,Live goats,No,FALSE,2017,value_cif,0.1,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2017,quantity,,head
MALAY_IMPORT,Live sheep,No,FALSE,2017,value_cif,,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2017,quantity,700,head
MALAY_IMPORT,Live swine,No,FALSE,2017,value_cif,0.75,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2017,quantity,23.9,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2017,value_cif,0.52,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2017,quantity,37283.9,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2017,value_cif,479.03,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2017,quantity,1880.8,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2017,value_cif,35.65,million_rm
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2018,quantity,3393,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2018,value_cif,69.78,million_rm
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2018,quantity,69,head
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2018,value_cif,0.05,million_rm
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2018,quantity,0,head
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2018,value_cif,0,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2018,quantity,54,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2018,value_cif,0.08,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2018,quantity,,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2018,value_cif,,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2018,quantity,5094896,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2018,value_cif,35.14,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2018,quantity,50727236,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2018,value_cif,602.88,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2018,quantity,5459468,head
MALAY_IMPORT,Live Ducks,No,FALSE,2018,value_cif,137.08,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2018,quantity,60,head
MALAY_IMPORT,Live goats,No,FALSE,2018,value_cif,0.02,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2018,quantity,,head
MALAY_IMPORT,Live sheep,No,FALSE,2018,value_cif,,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2018,quantity,37675,head
MALAY_IMPORT,Live swine,No,FALSE,2018,value_cif,39.96,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2018,quantity,241.1,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2018,value_cif,4.38,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2018,quantity,40952.3,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2018,value_cif,503.88,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2018,quantity,2097.9,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2018,value_cif,39.2,million_rm
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2019,quantity,5654.1,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2019,value_cif,85.08,million_rm
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2019,quantity,306,head
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2019,value_cif,0.45,million_rm
